	coord	address	source
0	(43.531151, 57.312551)	34к-84,костромская область,россия	Yandex
1	(41.276368, 58.635141)	центральная улица,21,деревня мелешино,галичский район,костромская область,россия	Yandex
2	(39.77085, 54.977587)	советская площадь,11,ряжск,рязанская область,россия	Yandex
3	(41.276368, 58.635141)	деревня левково,галичский район,костромская область,россия	Yandex
4	(39.77085, 54.977587)	улица ленина,40,сасово,рязанская область,россия	Yandex
5	(37.370121, 57.114562)	село петровское,сонковский район,тверская область,россия	Yandex
6	(49.599084, 51.521813)	молодежная улица,село чувичи,хворостянский район,самарская область,россия	Yandex
7	(41.276368, 58.635141)	молодежная улица,село костома,галичский район,костромская область,россия	Yandex
8	(43.531151, 57.312551)	анкудиновское шоссе,30,нижний новгород,россия	Yandex
9	(39.77085, 54.977587)	почтовая улица,8,рыбное,рыбновское городское поселение,рязанская область,россия	Yandex
10	(39.633493, 54.639704)	село ходынино,ходынинское сельское поселение,рыбновский район,рязанская область,россия	Yandex
11	(39.77085, 54.977587)	поселок завод ветзоотехника,рыбновский район,рязанская область,россия	Yandex
12	(39.77085, 54.977587)	село сельцы,рыбновский район,рязанская область,россия	Yandex
13	(39.77085, 54.977587)	улица пирогова,2,село новоселки,рыбновский район,рязанская область,россия	Yandex
14	(39.77085, 54.977587)	село житово,рыбновский район,рязанская область,россия	Yandex
15	(39.77085, 54.977587)	село большое жоково,рыбновский район,рязанская область,россия	Yandex
16	(39.77085, 54.977587)	деревня новое батурино,рыбновский район,рязанская область,россия	Yandex
17	(39.77085, 54.977587)	деревня баграмово,6б,рыбновский район,рязанская область,россия	Yandex
18	(39.77085, 54.977587)	центральная улица,село вакино,рыбновский район,рязанская область,россия	Yandex
19	(39.77085, 54.977587)	алешинское сельское поселение,рыбновский район,рязанская область,россия	Yandex
20	(41.276368, 58.635141)	село углево,галичский район,костромская область,россия	Yandex
21	(69.05857999999999, 60.968499)		opendata
22	(43.531151, 57.312551)	советская улица,31,вязники,владимирская область,россия	Yandex
23	(41.276368, 58.635141)	село унорож,галичский район,костромская область,россия	Yandex
24	(35.338614, 54.724559)	улица пушкина,19,брянск,россия	Yandex
25	(50.182425, 58.831414)	советская улица,64,слободской,кировская область,россия	Yandex
26	(43.531151, 57.312551)	каховская улица,1,нижний новгород,россия	Yandex
27	(50.202229, 61.122926)	улица мира,30,сыктывкар,республика коми,россия	Yandex
28	(42.338011, 58.284771)	школьная улица,деревня малышево,галичский район,костромская область,россия	Yandex
29	(40.137465, 45.437811)	школьная улица,поселок городского типа красносельский,гулькевичский район,краснодарский край,россия	Yandex
30	(37.370121, 57.114562)	село кой,сонковский район,тверская область,россия	Yandex
31	(69.048843, 61.004980999999994)		opendata
32	(39.77085, 54.977587)	улица свобода,1,поселок горка,киржачский район,владимирская область,россия	Yandex
33	(49.468688, 53.082582)	улица новый поселок,2,село студенцы,хворостянский район,самарская область,россия	Yandex
34	(43.531151, 57.312551)	улица адмирала макарова,6,нижний новгород,россия	Yandex
35	(81.41805, 0.202202)	улица калашникова,34,село староалейское,третьяковский район,алтайский край,россия	Yandex
36	(40.137465, 45.437811)	запорожская улица,станица фастовецкая,тихорецкий район,краснодарский край,россия	Yandex
37	(39.77085, 54.977587)	проезд октябрят,6а,поселок першино,киржачский район,владимирская область,россия	Yandex
38	(40.531803, 45.668022)	улица тимирязева,2а,гулькевичи,краснодарский край,россия	Yandex
39	(75.442984, 41.682099)	улица титова,село покровка,муниципальное образование славгород,алтайский край,россия	Yandex
