filed	value
Название	100.0
Местоположение	100.0
Часовой пояс	100.0
Улица	99.50764718206578
Примечание	9.76325162371674
Адрес	53.70835952231301
На карте	100.0
Описание	100.0
Адрес сайта	43.21181646763042
Адрес электронной почты	57.77288916823801
Номер	100.0
Изображение	100.0
Дополнительные изображения	41.53572176827991
Тип категории	0.0
Категория	100.0
Юридическое лицо	100.0
Местоположение.1	100.0
Часовой пояс.1	100.0
Улица.1	53.38361617431385
Примечание.1	0.0
Адрес.1	99.90571967316153
На карте.1	0.0
ИНН	55.499685732243876
Принадлежность	100.0
Подчинение	100.0
Timezone	100.0
Название.1	52.77603184579929
Идентификатор ЕИПСК	100.0
Тэги	74.0100565681961
Hosting	1.1313639220615965
ПН	55.62539283469516
ВТ	90.41483343808925
СР	92.21663523989105
ЧТ	92.34234234234235
ПТ	87.24072910119422
СБ	64.25728053635031
ВС	44.5945945945946
Категория учреждения	0.0
Аудитория	0.0
Язык	0.0
Профессиональный уровень	0.0
Виртуальный тур	0.0
Types[]	0.0
Start	0.0
ID места ЕИПСК	100.0
ServiceName	96.87827362245966
ЕИПСК	1.4980096375445213
Культура.РФ	1.2780222082547663
Госкаталог	0.010475591870940708
Статистика	0.010475591870940708
Дата создания записи	100.0
Дата последнего обновления записи	100.0
