	address_x	coord_x	address_y	coord_y	address	sub
0	34К-84, Костромская область, Россия	(58.331915, 42.462762)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	34к-84,костромская область,россия	['костромская']
1	Центральная улица, 21, деревня Мелешино, Галичский район, Костромская область, Россия	(58.437951, 42.541607)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	центральная улица,21,деревня мелешино,галичский район,костромская область,россия	['костромская']
2	Советская площадь, 11, Ряжск, Рязанская область, Россия	(53.708176, 40.06329)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	советская площадь,11,ряжск,рязанская область,россия	['рязанская']
3	деревня Левково, Галичский район, Костромская область, Россия	(58.552083, 42.187105)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	деревня левково,галичский район,костромская область,россия	['костромская']
4	улица Ленина, 40, Сасово, Рязанская область, Россия	(54.341069, 41.914439)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	улица ленина,40,сасово,рязанская область,россия	['рязанская']
5	село Петровское, Сонковский район, Тверская область, Россия	(57.85606, 37.262855)	Северный Хорасан, Иран	(37.370121, 57.114562)	село петровское,сонковский район,тверская область,россия	['тверская']
6	Молодёжная улица, село Чувичи, Хворостянский район, Самарская область, Россия	(52.502847, 48.901751)	Акжаикский район, Западно-Казахстанская область, Казахстан	(49.599084, 51.521813)	молодежная улица,село чувичи,хворостянский район,самарская область,россия	['самарская']
7	Молодёжная улица, село Костома, Галичский район, Костромская область, Россия	(58.325871, 41.906408)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	молодежная улица,село костома,галичский район,костромская область,россия	['костромская']
8	Анкудиновское шоссе, 30, Нижний Новгород, Россия	(56.262212, 44.002968)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	анкудиновское шоссе,30,нижний новгород,россия	['нижегородская']
9	Почтовая улица, 8, Рыбное, Рыбновское городское поселение, Рязанская область, Россия	(54.732168, 39.507053)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	почтовая улица,8,рыбное,рыбновское городское поселение,рязанская область,россия	['рязанская']
10	село Ходынино, Ходынинское сельское поселение, Рыбновский район, Рязанская область, Россия	(54.72489, 39.558634)	хребет Большой Балхан, Балканский велаят, Туркменистан	(39.633493, 54.639704)	село ходынино,ходынинское сельское поселение,рыбновский район,рязанская область,россия	['рязанская']
11	посёлок Завод Ветзоотехника, Рыбновский район, Рязанская область, Россия	(54.824, 39.468659)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	поселок завод ветзоотехника,рыбновский район,рязанская область,россия	['рязанская']
12	село Сельцы, Рыбновский район, Рязанская область, Россия	(54.910581, 39.522091)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	село сельцы,рыбновский район,рязанская область,россия	['рязанская']
13	улица Пирогова, 2, село Новосёлки, Рыбновский район, Рязанская область, Россия	(54.842175, 39.77626)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	улица пирогова,2,село новоселки,рыбновский район,рязанская область,россия	['рязанская']
14	село Житово, Рыбновский район, Рязанская область, Россия	(54.721359, 39.363763)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	село житово,рыбновский район,рязанская область,россия	['рязанская']
15	село Большое Жоково, Рыбновский район, Рязанская область, Россия	(54.572451, 38.955254)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	село большое жоково,рыбновский район,рязанская область,россия	['рязанская']
16	деревня Новое Батурино, Рыбновский район, Рязанская область, Россия	(54.773766, 39.453486)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	деревня новое батурино,рыбновский район,рязанская область,россия	['рязанская']
17	деревня Баграмово, 6Б, Рыбновский район, Рязанская область, Россия	(54.7223, 39.449201)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	деревня баграмово,6б,рыбновский район,рязанская область,россия	['рязанская']
18	Центральная улица, село Вакино, Рыбновский район, Рязанская область, Россия	(54.869171, 39.485799)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	центральная улица,село вакино,рыбновский район,рязанская область,россия	['рязанская']
19	Алёшинское сельское поселение, Рыбновский район, Рязанская область, Россия	(54.655287, 39.3485)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	алешинское сельское поселение,рыбновский район,рязанская область,россия	['рязанская']
20	село Углево, Галичский район, Костромская область, Россия	(58.183487, 42.10057)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	село углево,галичский район,костромская область,россия	['костромская']
21	Краснопартизанская улица, 2, Ханты-Мансийск, Россия	(60.968499, 69.05858)	Ненецкий автономный округ, Россия	(67.714212, 54.365062)	ненецкий автономный округ,россия	['ханты-мансийский', 'ненецкий']
22	Советская улица, 31, Вязники, Владимирская область, Россия	(56.246451, 42.155313)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	советская улица,31,вязники,владимирская область,россия	['владимирская']
23	село Унорож, Галичский район, Костромская область, Россия	(58.471094, 42.096339)	Дашогузский велаят, Туркменистан	(41.276368, 58.635141)	село унорож,галичский район,костромская область,россия	['костромская']
24	улица Пушкина, 19, Брянск, Россия	(53.263613, 34.412168)	Семнан, Иран	(35.338614, 54.724559)	улица пушкина,19,брянск,россия	['брянская']
25	Советская улица, 64, Слободской, Кировская область, Россия	(58.732605, 50.183278)	Хромтауский район, Актюбинская область, Казахстан	(50.182425, 58.831414)	советская улица,64,слободской,кировская область,россия	['кировская']
26	Каховская улица, 1, Нижний Новгород, Россия	(56.274954, 43.944685)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	каховская улица,1,нижний новгород,россия	['нижегородская']
27	улица Мира, 30, Сыктывкар, Республика Коми, Россия	(61.792724, 50.749594)	Айтекебийский район, Актюбинская область, Казахстан	(50.202229, 61.122926)	улица мира,30,сыктывкар,республика коми,россия	['коми']
28	Школьная улица, деревня Малышево, Галичский район, Костромская область, Россия	(58.293646, 42.337986)	пески, Дашогузский велаят, Туркменистан	(42.338011, 58.284771)	школьная улица,деревня малышево,галичский район,костромская область,россия	['костромская']
29	Школьная улица, посёлок городского типа Красносельский, Гулькевичский район, Краснодарский край, Россия	(45.390713, 40.597464)	Гехаркуникская область, Армения	(40.137465, 45.437811)	школьная улица,поселок городского типа красносельский,гулькевичский район,краснодарский край,россия	['краснодарский']
30	село Кой, Сонковский район, Тверская область, Россия	(57.714253, 37.526959)	Северный Хорасан, Иран	(37.370121, 57.114562)	село кой,сонковский район,тверская область,россия	['тверская']
31	улица Шевченко, 36, Ханты-Мансийск, Россия	(61.004981, 69.048843)	Ненецкий автономный округ, Россия	(67.714212, 54.365062)	ненецкий автономный округ,россия	['ханты-мансийский', 'ненецкий']
32	улица Свобода, 1, поселок Горка, Киржачский район, Владимирская область, Россия	(56.249191, 38.793737)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	улица свобода,1,поселок горка,киржачский район,владимирская область,россия	['владимирская']
33	улица Новый посёлок, 2, село Студенцы, Хворостянский район, Самарская область, Россия	(52.78512, 49.204744)	Каратобинский район, Западно-Казахстанская область, Казахстан	(49.468688, 53.082582)	улица новый поселок,2,село студенцы,хворостянский район,самарская область,россия	['самарская']
34	улица Адмирала Макарова, 6, Нижний Новгород, Россия	(56.286682, 43.944587)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	улица адмирала макарова,6,нижний новгород,россия	['нижегородская']
35	улица Калашникова, 34, село Староалейское, Третьяковский район, Алтайский край, Россия	(51.005257, 82.000932)	Северный Ледовитый океан	(81.41805, 0.202202)	улица калашникова,34,село староалейское,третьяковский район,алтайский край,россия	['алтайский']
36	Запорожская улица, станица Фастовецкая, Тихорецкий район, Краснодарский край, Россия	(45.916932, 40.129549)	Гехаркуникская область, Армения	(40.137465, 45.437811)	запорожская улица,станица фастовецкая,тихорецкий район,краснодарский край,россия	['краснодарский']
37	проезд Октябрят, 6А, поселок Першино, Киржачский район, Владимирская область, Россия	(56.136281, 38.732139)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	проезд октябрят,6а,поселок першино,киржачский район,владимирская область,россия	['владимирская']
38	улица Тимирязева, 2а, Гулькевичи, Краснодарский край, Россия	(45.379844, 40.692326)	Кедабекский район, Азербайджан	(40.531803, 45.668022)	улица тимирязева,2а,гулькевичи,краснодарский край,россия	['краснодарский']
39	улица Титова, село Покровка, муниципальное образование Славгород, Алтайский край, Россия	(52.964774, 78.402847)	Баренцево море	(75.442984, 41.682099)	улица титова,село покровка,муниципальное образование славгород,алтайский край,россия	['алтайский']
40	поселок Семеновка, муниципальное образование Славгород, Алтайский край, Россия	(53.088887, 78.981281)	Баренцево море	(75.442984, 41.682099)	поселок семеновка,муниципальное образование славгород,алтайский край,россия	['алтайский']
41	Молодёжная улица, село Селекционное, муниципальное образование Славгород, Алтайский край, Россия	(52.980874, 78.596281)	Баренцево море	(75.442984, 41.682099)	молодежная улица,село селекционное,муниципальное образование славгород,алтайский край,россия	['алтайский']
42	улица Адмирала Макарова, 6, Нижний Новгород, Россия	(56.286682, 43.944587)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	улица адмирала макарова,6,нижний новгород,россия	['нижегородская']
43	Партенитская улица, 7, посёлок городского типа Партенит, городской округ Алушта, Республика Крым, Россия	(44.576527, 34.3443)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	партенитская улица,7,поселок городского типа партенит,городской округ алушта,республика крым,россия	['крым']
44	Советская улица, село Семено-Красилово, Кытмановский район, Алтайский край, Россия	(53.562075, 85.605755)			советская улица,село семено-красилово,кытмановский район,алтайский край,россия	['алтайский']
45	Кировская улица, 16, Нижний Новгород, Россия	(56.288041, 43.913595)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	кировская улица,16,нижний новгород,россия	['нижегородская']
46	Советская улица, 6А, деревня Фёдоровское, Киржачский район, Владимирская область, Россия	(56.115414, 38.858757)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	советская улица,6а,деревня федоровское,киржачский район,владимирская область,россия	['владимирская']
47	Коммунистическая улица, 4, село Поспелиха, Поспелихинский район, Алтайский край, Россия	(51.990055, 81.824629)	Северный Ледовитый океан	(81.41805, 0.202202)	коммунистическая улица,4,село поспелиха,поспелихинский район,алтайский край,россия	['алтайский']
48	улица Ленина, 25, Заринск, Алтайский край, Россия	(53.755956, 84.927491)	Северный Ледовитый океан	(81.41805, 0.202202)	улица ленина,25,заринск,алтайский край,россия	['алтайский']
49	Скальная улица, 13, Мурманск, Россия	(68.974421, 33.115701)	провинция Пактика, Афганистан	(32.512373, 68.768667)	скальная улица,13,мурманск,россия	['мурманская']
