;index;name
0;8,6422,6716;михалкова, с., в.
1;24,109,262,344,377,469,515,519,615,618,693,702,714,740,838,839,840,841,859,1274,1508,1537,1575,1579,1737,1743,1764,1765,1854,1955,2011,2030,2695,2869,3377,3397,3422,3519,3926,4071,4260,4418,4641,4672,4756,4760,4954,4977,5131,5599,5663,5680,5699,5700,5704,5767,5847,5889,5963,6113,6138,6148,6255,6379,6758,6810,6822,7034,7125,7310,7340,7983,8189,8232,8306,8585,8637,8825,9074,9454,9519;пушкин, а., с.
2;4684,5664,6228,8862;грин, а., с.
3;26,407,848,849,1156,2038,4049,4383,5502,6607,8866,8951,9166;некрасова, н., а.
4;27,9007;куратов, и., а.
5;34,216,932,1232,2942,4655,4700,7450,9078,9332;маршак, с., я.
6;42,1894;блок, а., а.
7;45,401,1946,3980,9360;бажова, п., п.
8;60;комарова, п., с.
9;71;декабрист
10;84;фадеев
11;93;николаев, ю.
12;100;комаров, в., м.
13;101,1922,1923,6964,8631;пришвин, м., м.
14;102,3617,7756;ахматова, а., а.
15;106;слепухин, ю., г.
16;107;сергеева-ценский, с., н.
17;113,4594;цветаева, м., и.
18;154;дзержинский, ф., э.
19;157;алабина, п., в.
20;173;баратынский, е., а.
21;181;беспалов, м., н.
22;193,2677,4098,5659,7759,8828,9241;маяковский, в., в.
23;194,719,772,788,789,813,843,844,991,1492,1601,1635,1686,1796,1797,1798,1805,2683,3482,3706,4634,5594,6696,6896,7508,7775,8820,9482,9508;гайдар, а., п.
24;200,1150,1152,1882,1883,1884,2025,2654,2664,5336,5387,5493,6671,8400,8798,8874;лермонтов, м., ю.
25;201,1281;корнилов, в., г.
26;203;домбровский, а., и.
27;208;кученкова, в., а.
28;209,271,272,273,715,914,1136,1233,2809,3406,3550,4550,4657,5974,6527,6792,6794,7161,7984,8033,8158,8191,8761,9289,9453,9509;чехов, а., п.
29;210;новиков-прибой, а., с.
30;211;шамов, и., в.
31;220;мерзликин, л., с.
32;223;баянов, в., м.
33;227,6390,7132,7134;кассиля, л., а.
34;230;сизов, а., а.
35;235;матросов, а., м.
36;240;котенко, е., а.
37;244,7695;солженицын, а., и.
38;256;воронков, а., и.
39;258,6399,8826;чкалов, в., п.
40;259,1907,1908;серафимович, а., с.
41;260,266,1114,4735,6948,6982,7113,7127,8057;гоголь, н., в.
42;264;рязановский, и., а.
43;265,1052;шишков, в., я.
44;275;бринский, а., п.
45;277;сахаров, и., н.
46;279,2895,3138,8491;ломоносов, м., в.
47;280,1174,1521,1713,2019,2989,3144,3161,3436,4652,5236,5711,5997,7110,7420;горький, а., м.
48;281;зайцева, н., а.
49;282,7740;ленинский
50;285,3603,3608,3678,6971,7120,7137,8794;короленко, в., г.
51;286;мельникова-печерский, п., и.
52;290,8224,9096;паустовский, к., г.
53;299;булыгина, п., п.
54;301,323,684,821,891,1471,1644,1726,1802,2090,3985,4351,4559,4673,5128,5513,5927,6453,6511,7563,7987,8171,8586,9093,9158,9296,9297;горький, м.
55;308;петрянов-соколов, и., в.
56;312;макаров, а., н.
57;322,598;островский, а., н.
58;336;ивотский, п., г.
59;386;клюева, н.
60;387;гусаров, д., я.
61;388;федосова, ирина
62;424;григорович, д., в.
