library_id	open_year	fond_numbers	izba	n_readers	visits_month	servise_area	area_surface	book_storage	public_area
0	1973.0	3306.0		91.0		100.0			
1	1945.0	5787.0				190.0			
2									
3	1968.0	6184.0		70.0					
4	1919.0								
5	1931.0	7000.0		140.0	12.0				
6	1932.0	5000.0	True	100.0	92.0				
7	1924.0	5779.0		70.0		154.0			
8	1964.0				208.0				
9	1950.0	556.0					285.0		
10		5000.0					36.0		
11	1954.0	600.0							
12	1952.0	6500.0		180.0			42.0		
13	1911.0	6000.0		500.0			52.0		
14	1954.0	5500.0		400.0					
15	1974.0		True						
16	1918.0		True						
17	1916.0	14000.0		1600.0					
18	1913.0	6000.0		320.0					
19	1935.0	1973.0							
20	1897.0	6117.0		103.0		169.0			
21			True						
22					6974.0				
23	1955.0	6703.0				230.0			
24	1948.0			34000.0					
25									
26	1947.0	25000.0							
27	1966.0	23380.0		22062.0					
28	1936.0	5631.0		92.0		165.0			
29		16316.0							
30		8284.0	True						
31	1968.0	34363.0		2493.0					
32	1935.0	5434.0							
33	1979.0	8183.0			279.0				
34	1981.0	27000.0							
35									
36				2850.0					
37		7461.0		500.0					
38		20000.0	True				90.0		
39		8277.0		400.0					
40		12084.0		595.0					
41		7484.0		802.0					
42	1981.0	21000.0							
43	1968.0			2000.0					
44		9227.0		273.0					
45	1948.0	30000.0							
46	1969.0	5500.0			250.0				
47			True	11388.0					
48	1914.0								
49	1986.0	235000.0							
50		12000.0							
51	1980.0	18000.0							
52	1976.0	17000.0							
53		4026.0		249.0					
54	1973.0	22000.0							
55	1962.0	20000.0							
56		18000.0							
57	1967.0	14348.0			1000.0				
58		17000.0							
59	1972.0	19000.0							
60	1950.0	11168.0							
61		7546.0		409.0					
62		4125.0		241.0					
63		3011.0		150.0					
64		2681.0		321.0					
65		6215.0		415.0					
66		6501.0		320.0					
67		10203.0		528.0					
68		11980.0		520.0					
69	1986.0	7000.0		800.0	67.0				
70	1953.0	13317.0	True	450.0			108.0		
71	1933.0	20000.0							
72		9042.0		450.0	38.0				
73		30000.0							
74	1980.0	26000.0		4200.0					
75		15000.0							
76				3000.0					
77	1953.0	30000.0		3500.0					
78	1954.0	17000.0		2600.0					
79	1966.0								
80				550.0	192.0				
81	1932.0	5000.0		450.0					
82	1953.0	32698.0							
83		17000.0							
84				2790.0					
85									
86	2008.0	36000.0							
87	1975.0								
88									
89		10388.0							
90									
91	1968.0	6014.0							
92		20287.0		1315.0					
93		67500.0		5800.0					
94	2001.0	13000.0		1000.0	83.0				
95			True						
96	1958.0	9088.0							
97	2006.0	8419.0							
98	1964.0								
99	1978.0	7703.0							
100	1967.0	20000.0		4500.0					
101	2016.0	45000.0							
102		32000.0		2300.0					
103	1970.0								
104	1919.0								
105	1974.0								
106		18805.0		2600.0					
107	1894.0	76000.0		6000.0					
108	1978.0			110000.0					
109		200000.0		500.0					
110		28888.0		2294.0					
111	1984.0			670.0					
112	1975.0	26000.0							
113		36000.0							
114	1940.0	6427.0	True	507.0					
115		4023.0		150.0					
116	1938.0	12675.0	True						
117		199802.0	True		673.0				
118	1938.0	3843.0	True	307.0					
119	1940.0	6000.0	True	608.0					
120		4680.0		609.0					
121	1887.0	8363.0							
122		11750.0							
123									
124	1981.0								
125	1938.0	4557.0	True	530.0					
126	1940.0	3372.0	True	99.0					
127	1895.0								
128	1940.0	4705.0	True	722.0					
129	1944.0	5286.0	True	712.0					
130	1938.0	3031.0	True	438.0					
131	1940.0	23113.0	True	1655.0					
132	1952.0	10000.0							
133	2011.0								
134	2011.0								
135	1932.0		True	264.0					
136	1944.0								
137									
138		4465.0					31.7		
139		12867.0	True	752.0					
140				500.0					
141		14922.0							
142		45000.0		4000.0					
143		8626.0		706.0	706.0				
144		103893.0			750.0				
145				1200.0			556.0	208.0	70.0
146	1967.0			1200.0					
147									
148		4774.0							
149	1956.0	4857.0	True						
150				500.0	125.0				
151		19353.0	True		1067.0				
152		7361.0	True				55.0		
153		802.0							
154	1976.0	20000.0							
155		20387.0							
156	1953.0	39460.0							
157					1420.0				
158	1980.0								
159	1978.0	36269.0							
160	1946.0	17164.0							
161	1964.0	35227.0							
162	1947.0								
163	1938.0	9370.0							
164	1935.0	5222.0		570.0					
165	1921.0	8066.0		1802.0					
166		1012.0	True	704.0					
167					1500.0				
168	1939.0	60000.0			2492.0				
169		55280.0							
170									
171	1991.0			6750.0					
172									
173		24000.0							
174									
175									
176	1946.0								
177									
178									
179									
180									
181		2000.0							
182	1943.0				1000.0				
183		16000.0							
184	1969.0	50000.0							
185		6434.0	True						
186	1921.0		True						
187	1947.0			2000.0			16.0		
188									
189									
190							123.0		
191			True	5000.0					
192									
193									
194		5200.0		20000.0					
195		35000.0							
196	1920.0	9673.0	True						
197									
198				5000.0					
199		60000.0		6100.0	2667.0				
200	1955.0	20000.0		150.0					
201	1972.0	32000.0							
202		3000.0							
203				10000.0					
204									
205		16174.0		2036.0	833.0				
206	1971.0	21362.0		5710.0					
207	1935.0	58417.0		3500.0					
208		63000.0							
209		21000.0							
210									
211									
212	2008.0	74488.0		6086.0					
213	1953.0	42177.0		1505.0					
214	1951.0						108.0		
215	1985.0			3158.0					
216	1956.0	62000.0							
217									
218	1979.0								
219	2013.0	32676.0							
220				10000.0					
221	1939.0				500.0				
222									
223		124005.0		4648.0					
224									
225	1947.0								
226									
227	1973.0								
228		223201.0							
229	1969.0	213869.0		15506.0					
230		8683.0							
231	1936.0	22870.0		5292.0					
232		34614.0							
233	1968.0								
234									
235	1953.0								
236		3.0	True	100.0					
237		3.0	True	394.0					
238	1951.0	20000.0		3000.0					
239									
240	1897.0								
241	1931.0	35159.0			228.0				
242									
243		3000.0							
244				13500.0					
245		35000.0							
246									
247				1800.0					
248		12168.0							
249									
250									
251		33930.0							
252									
253		32779.0							
254									
255		2581400.0		2329.0					
256		40000.0		3000.0					
257									
258	1927.0	19000.0		2000.0					
259									
260	1927.0	15000.0		1500.0					
261									
262	1946.0								
263									
264		33750.0		2712.0	1962.0				
265	1875.0	61524.0		4754.0					
266									
267	1947.0	43485.0		2809.0	3589.0				
268									
269		29129.0							
270	1944.0	58000.0							
271	1970.0			460.0					
272	1969.0								
273									
274		4847.0							
275	1984.0	13000.0							
276	1910.0	49000.0		7665.0	6192.0				
277	1895.0				333.0				
278		64605.0		4234.0					
279	1958.0	24000.0		3500.0					
280	1937.0								
281	1991.0	31000.0							
282	2007.0								
283		52300.0							
284		13270.0	True	1500.0	708.0				
285									
286				4000.0					
287	1979.0								
288	1890.0								
289	1938.0	22000.0							
290		30000.0							
291		280000.0			1917.0				
292	1920.0			1327.0					
293									
294		19395.0					442.0		
295				1643.0			313.9		
296	1952.0	2000.0		700.0					
297	1956.0								
298									
299									
300		140446.0		14403.0			863.0		
301	1919.0	26000.0							
302									
303									
304									
305	2003.0	60195.0							
306									
307	1931.0	168850.0							
308		28000.0							
309									
310	1918.0		True	17590.0					
311	1979.0	12000.0							
312									
313		241597.0							
314	1953.0	11000.0							
315	1833.0	206233.0							
316	1894.0								
317	1956.0	45000.0		4698.0			550.0		
318	1951.0	107000.0							
319	1933.0	14000.0							
320									
321									
322	1896.0								
323									
324									
325					267.0				
326	1863.0	153.0							
327									
328									
329	1970.0	65000.0							
330	1979.0	650000.0			8333.0				
331	1953.0	10000.0							
332									
333	1951.0	12000.0							
334									
335	1946.0								
336									
337					375.0				
338	1956.0	10000.0							
339	1979.0	60000.0		9500000.0					
340		26000.0		3000.0			63.0		
341	1952.0	15000.0							
342									
343		10000.0		1600.0					
344	1944.0								
345	2008.0	75000.0							
346			True						
347									
348									
349	1899.0		True						
350				1100.0					
351	1982.0								
352									
353		12000.0		900.0					
354		10908.0		1070.0					
355									
356									
357									
358									
359									
360									
361									
362									
363									
