;region;0
0;адыгея;3.3499999999999996
1;алтай;2.1999999999999997
2;алтайский;2.984126984126984
3;амурская;3.12
4;архангельская;2.9886363636363633
5;астраханская;2.12
6;башкортостан;2.752321981424149
7;белгородская;3.1144708423326133
8;брянская;2.6823529411764704
9;бурятия;2.548387096774193
10;владимирская;3.2007168458781363
11;волгоградская;2.584905660377358
12;вологодская;2.827586206896552
13;воронежская;2.721491228070176
14;дагестан;2.5
15;еврейская;2.5
16;забайкальский;2.909090909090909
17;ивановская;2.6395348837209305
18;ингушетия;1.0
19;иркутская;2.5999999999999996
20;кабардино-балкарская;3.2184873949579833
21;калининградская;2.297872340425532
22;калмыкия;4.0
23;калужская;2.043103448275862
24;камчатский;2.769230769230769
25;карачаево-черкесская;2.0
26;карелия;1.9642857142857142
27;кемеровская;2.7968127490039842
28;кировская;2.804270462633452
29;коми;2.7878787878787876
30;костромская;2.7733333333333334
31;краснодарский;2.3386243386243386
32;красноярский;2.041666666666667
33;крым;3.0625
34;курганская;2.878787878787879
35;курская;2.75
36;ленинградская;2.3225806451612905
37;липецкая;3.1363636363636367
38;магаданская;2.388888888888889
39;марий эл;2.375
40;мордовия;2.5384615384615383
41;москва;2.2323462414578588
42;московская;2.767123287671233
43;мурманская;2.4408602150537635
44;ненецкий;4.4411764705882355
45;нижегородская;1.9337016574585635
46;новгородская;2.1929824561403506
47;новосибирская;2.0454545454545454
48;омская;2.3125
49;оренбургская;2.379746835443038
50;орловская;2.5428571428571427
51;пензенская;2.2916666666666665
52;пермский;1.3685897435897436
53;приморский;2.9032258064516125
54;псковская;2.843137254901961
55;ростовская;2.0976744186046514
56;рязанская;3.4035087719298245
57;самарская;2.462093862815885
58;санкт-петербург;2.3266331658291457
59;саратовская;2.623529411764706
60;сахалинская;2.541666666666667
61;свердловская;2.195402298850574
62;севастополь;2.7727272727272725
63;северная осетия;3.0
64;смоленская;2.6399999999999997
65;ставропольский;2.5810810810810807
66;тамбовская;1.9433962264150944
67;татарстан;2.5588235294117645
68;тверская;2.5949367088607596
69;томская;2.490322580645161
70;тульская;1.8055555555555556
71;тюменская;2.5857988165680474
72;удмуртская;2.85
73;ульяновская;1.5185185185185186
74;хабаровский;1.7999999999999998
75;хакасия;2.3
76;ханты-мансийский;2.8238993710691824
77;челябинская;2.640350877192983
78;чеченская;2.6984126984126986
79;чувашская;2.355555555555555
80;чукотский;2.5789473684210527
81;якутия;1.5
82;ямало-ненецкий;2.263888888888889
83;ярославская;3.1553784860557768
